Casenum,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,DebtRatio,NumberOfOpenCreditLinesAndLoans,NumberOfDependents
1442,0,0,0.143671858,8,0
1443,0,0.286564178,1.333712265,17,0
1444,0,0.18805926,0.542411134,19,2
1445,0,0.209546792,0.100164204,12,0
1446,0,0.477140863,0.349572725,11,0
1447,0,0.523570467,0.152938343,7,2
1448,0,0.122830785,2162,4,0
1449,0,0.2670805,0.841945289,25,3
1450,0,0.460114066,558,4,0
1451,0,0.363993614,0.248252006,6,3
1452,0,0.857122203,0.469695416,8,0
1453,0,0.027789211,0.226816225,7,2
1454,0,0.002523689,1,6,0
1455,0,0.822094232,325,6,0
1456,0,0.353103186,0.878525593,22,3
1457,0,0.444218359,0.478291378,6,0
1458,0,0.673189544,0.424098921,5,0
1459,0,0.180296867,1609,11,0
1460,0,0.038953135,3024,7,0
1461,0,0.55613391,0.151914167,4,0
1462,0,0.057155929,0.224294881,10,0
1463,0,0.212957409,0.49910018,4,0
1464,0,0.037448128,2498,4,0
1465,1,0.702381432,0.866732547,21,3
1466,0,0,2648,12,3
1467,0,0.196222729,0.158012596,9,0
1468,0,0.620903668,1146,14,3
1469,0,0.001499893,322,12,0
1470,0,0.040857428,0.385322935,9,0
1471,0,0.9999999,0.282883462,10,2
1472,0,0.96673631,0.419895026,8,0
1473,0,0.685583993,0.450440529,13,1
1474,0,0.019999721,0.090381924,11,0
1475,0,0.275748654,1348,7,0
1476,0,0,0.254106556,9,0
1477,0,0.9999999,1.123247319,11,1
1478,0,0.004396358,0.23319682,10,1
1479,0,0.216826619,0.854103343,16,2
1480,0,0.205031355,0.602840353,10,2
1481,0,0.9999999,0.082448854,6,1
1482,0,0.555938038,0.451816271,10,0
1483,0,0.002288418,0.000499917,3,0
1484,0,0.088300431,3041,8,0
1485,0,0.143187518,0.048500555,3,0
1486,1,1.083405734,0.490218316,10,1
1487,0,0.688665867,1.034152436,12,3
1488,0,0.600289222,0.411100659,3,0
1489,0,0.220222137,0.843945069,6,0
1490,0,0.030141422,0.090074333,6,0
1491,0,0.239963423,0.195229306,8,4
1492,0,0.443379207,1.412587413,8,0
1493,0,0.198454901,0.246160694,7,2
1494,0,0.439512098,0.027951606,2,0
1495,0,0.270429421,0.477690571,14,1
1496,0,0,0.01910828,8,0
1497,0,0.023945636,0.032692543,13,0
1498,0,0.570122822,0.737718568,5,0
1499,0,0.9999999,2174,1,NA
1500,0,0,0.324611033,7,1
1501,0,0.128842063,0.44555542,10,2
1502,0,0.339647837,0.265089623,6,1
1503,0,0.014370016,0.432807679,9,0
1504,0,0,2,5,0
1505,0,0.511248875,0.476190476,10,2
1506,0,0.16805774,0.313671582,7,0
1507,0,0.005971329,0.280197575,13,2
1508,0,0.123206192,0.643262895,10,2
1509,0,0.003499865,0.32941435,7,1
1510,0,0.054783369,0.099980004,15,1
1511,0,0.041735628,0.036921329,22,0
1512,1,0.9999999,31,0,0
1513,0,0.386691448,0.276689324,14,0
1514,0,0.956397524,3268,15,0
1515,0,0.689770077,0.308230874,5,0
1516,0,0.121532709,0.155711072,4,0
1517,0,0.031140633,0.075146243,9,0
1518,0,0.478720045,0.353107815,7,0
1519,0,0.246369867,0.289518318,5,0
1520,0,0.065788608,1234,13,1
1521,0,0.351892829,0.563852484,18,4
1522,0,0.430444733,0.281642229,12,0
1523,0,0.033498604,0.450358041,7,0
1524,0,0.072494634,0.523546435,9,0
1525,0,0.072093448,0.673983917,17,1
1526,0,0.418715107,0.114119117,2,0
1527,0,0.088336591,0.216678332,15,2
1528,0,0.457431884,0.700270556,17,2
1529,0,0.029570959,0.048762191,13,0
1530,0,0.168772615,0.289779829,11,1
1531,0,0.032438862,0.141974187,14,0
1532,0,0.9999999,0.154551135,4,3
1533,0,0.83121405,0.105620649,12,0
1534,0,0.063226971,0.263461966,22,0
1535,0,0.019139302,8.007968127,11,2
1536,0,0.436410214,0.133777672,5,0
1537,0,0.483301113,0.303013393,11,2
1538,0,0.510293034,0.31697841,13,1
1539,0,0.955236854,65,1,2
1540,0,0.070741157,0.146763902,5,0
1541,0,0.056334303,4542,12,0
1542,0,0.55986436,0.589572193,6,0
1543,0,0,0.149209191,10,0
1544,0,0.200990429,1559,5,0
1545,0,0.093446262,0.123590725,14,0
1546,0,0.098019024,0.025917927,7,1
1547,0,0.135407518,0.343653846,12,0
1548,0,0.9999999,0,4,0
1549,0,0.198673754,2.699720112,13,0
1550,0,0.905468868,0.35297212,6,0
1551,0,0.011986243,0.010284245,21,0
1552,0,0.31309339,1.64846981,8,0
1553,0,0.12724513,0.643,11,0
1554,0,0,0.108598726,5,3
1555,0,0.029725902,685,8,0
1556,0,0.312571479,0.107851172,5,0
1557,0,0,0.062897655,2,0
1558,0,0.809738087,0.196738963,5,2
1559,0,0.085108409,0.160825176,7,1
1560,0,0.973447395,0.468198992,9,0
1561,0,0.933834167,6696,8,0
1562,0,0.041826362,2707,4,2
1563,0,0.639081992,0.362545818,5,1
1564,0,0.100835967,140,6,0
1565,0,0.06839772,60,7,0
1566,0,0.019376663,1277,12,NA
1567,0,0,0,7,0
1568,0,0.05968851,0.282181539,20,0
1569,0,0.027999026,24,8,0
1570,0,0.085783584,0.16900596,12,1
1571,0,0.132240176,0.549862534,9,0
1572,0,0.085633991,0.227886057,14,0
1573,0,0.924107143,0.135388461,7,2
1574,0,0.009495252,0.055031668,2,1
1575,0,0.952798882,0.558740602,10,1
1576,0,5.37E-05,0.108461814,7,1
1577,0,0.655147395,0.378128675,6,3
1578,0,0.329152121,0.534155364,8,1
1579,0,0.017050203,0.583655513,19,0
1580,0,0.9999999,0.154187958,4,0
1581,1,0.602746575,0.260608705,4,1
1582,0,0.004769675,0.000572902,9,0
1583,0,0.034247393,0.159026599,10,1
1584,0,0.170115934,0.208084051,20,0
1585,0,0.310076467,0.255326195,7,0
1586,0,0.999578992,0.148483601,6,0
1587,0,0,0,2,0
1588,0,0.380480301,0.051771117,2,3
1589,0,0.187409279,0.49730054,7,2
1590,0,0.68012303,245,4,0
1591,0,0,0.337244676,4,0
1592,0,0.273435385,0.218109655,10,0
1593,0,0.284951627,0.380131887,9,0
1594,0,0.336222047,0.234941265,14,0
1595,0,0.030024681,0.852235551,5,0
1596,0,0.008247756,0.943611278,7,0
1597,0,0.137528803,0.504559635,13,3
1598,0,0.54691406,2969,6,0
1599,0,0.132249033,29,2,NA
1600,1,0.9999999,0.900911497,6,0
1601,0,0,2658,7,0
1602,0,0.205274463,0.361329834,10,0
1603,0,0,0.544228523,11,2
1604,0,0.464195875,0.120938628,8,0
1605,0,0.466768944,0.327109783,8,0
1606,0,0.911540163,3353,7,1
1607,0,0.014088028,0.007997715,6,1
1608,0,0.536461805,0.142285905,3,1
1609,0,0.918342055,0.270289344,4,0
1610,0,0,2391,10,0
1611,0,0.023224944,0.391854139,18,3
1612,0,0.016128599,1812,8,0
1613,0,1.034893879,0.439362795,10,3
1614,0,0.147242638,88,3,0
1615,1,0.983338887,0.106808245,9,0
1616,0,0.839907542,364,8,0
1617,0,0.286009847,3622,5,0
1618,0,0.267368644,0.420291743,46,0
1619,0,0.28369669,0.61966257,14,0
1620,0,0,0,2,0
1621,0,0.143931853,0.222951896,9,0
1622,0,0.041104587,0.3041988,8,0
1623,0,0.299417878,0.65971575,11,0
1624,0,0,0.355376308,12,3
1625,0,0.000428551,0.004481434,5,0
1626,0,0.004505221,0.435848607,6,2
1627,0,0.492643999,0.827377113,13,0
1628,0,0.021547106,0.318019519,12,2
1629,0,0.100173377,0.165314965,9,2
1630,0,0.621007856,0.310222339,14,1
1631,0,0.028752917,0.18566124,21,0
1632,0,0.002681757,0.732788003,13,2
1633,0,0.498488961,0.286938021,13,0
1634,0,0.095340549,2779,14,3
1635,0,0.097217141,0.276211189,5,2
1636,0,0.447466239,0.443923077,8,2
1637,0,0.045759314,0.409914601,17,2
1638,0,0,0.00419958,7,0
1639,0,0.360688717,0.595462092,7,0
1640,0,0.726088978,0.137081955,4,2
1641,0,0.129547536,0.562443192,17,2
1642,0,0.123218186,0.750680787,11,5
1643,0,0.033214349,1784,5,0
1644,0,0.010893096,0.194158076,8,0
1645,0,0.769773734,0.278075992,12,1
1646,0,0.006654485,740,7,4
1647,0,0,0,4,0
1648,0,0.175604436,28,2,NA
1649,1,0.922505535,0.501614046,11,1
1650,0,0.455154587,0.913286004,11,0
1651,0,0.654650704,0.481544577,11,1
1652,0,0.84490946,0.357151076,6,2
1653,0,0.9999999,0.357756601,6,0
1654,0,0.033983551,0.243744128,14,0
1655,0,0,0.183349121,11,2
1656,0,0.024378631,0.150484952,4,3
1657,0,0.770867868,0.24042455,8,0
1658,0,0,0.233691577,6,2
1659,0,0,0.149445764,3,0
1660,0,0.337735888,3005,11,2
1661,0,0.026621989,0.290083632,8,2
1662,0,0.880186636,0.211888395,10,0
1663,1,0.9999999,1305,2,0
1664,0,0.115814589,0.067859022,4,0
1665,0,0.99200034,0.555111222,8,0
1666,0,0.212526282,0.206479352,8,0
1667,0,1.708044916,1.862758161,6,0
1668,0,0.132463863,0.120768229,11,1
1669,0,0.456585044,0.630046584,9,0
1670,0,0.9999999,0,0,0
1671,0,0.558873832,0.214595135,9,0
1672,0,0.093454384,3986,25,0
1673,0,0.850299401,1845,3,0
1674,0,0.102222373,0.716513395,6,0
1675,0,0,0.360159658,10,4
1676,0,0.883293947,0.3118458,7,0
1677,0,0,0.36540709,3,0
1678,0,0.03839346,0.01371298,11,0
1679,0,0.903123346,0.342544069,8,0
1680,0,0.496968813,0.15199392,11,3
1681,0,0.940774925,0.381154711,10,1
1682,0,0.9999999,0.007617597,1,0
1683,0,1.025987006,0.521441726,8,1
1684,0,0.071129391,0.093687518,6,0
1685,0,0,509,3,0
1686,0,0.01150123,0.418702196,4,0
1687,0,0,114,7,0
1688,0,0.425597312,0.302766085,4,0
1689,0,0.087452779,1959,11,2
1690,0,0,0.431305341,4,2
1691,0,0.630787623,0.37942033,12,0
1692,0,0.0049619,8,9,0
1693,0,0.016861692,0.425821711,12,4
1694,0,0.195056302,1529,10,2
1695,0,0.231831982,0.192690243,6,2
1696,0,0.306338732,0.376373626,12,2
1697,0,0.9999999,2883,9,1
1698,0,0.328573722,0.293398759,17,1
1699,0,0.818659658,1.042791442,11,0
1700,0,0.24664436,0.10996858,5,1
1701,0,0.084138627,1295,10,3
1702,0,0.01029897,0.00119952,1,0
1703,0,0.090361993,0.311583578,7,0
1704,0,0.568392168,0.903676471,9,0
1705,0,0.005451823,0.00119976,7,0
1706,0,0.043255885,0.009998276,7,0
1707,0,0.001925099,0.024569089,15,0
1708,0,1.006955514,0.214392804,3,0
1709,0,0.056371415,0.359768292,10,1
1710,0,0.00789921,508,5,0
1711,0,0,1394,5,0
1712,0,0.982431974,0.664255618,13,2
1713,0,0.018265099,0.012643379,6,0
1714,1,0.9999999,0.237812128,2,1
1715,0,0.342056982,0.626394732,13,0
1716,0,0.039016915,0.499126383,5,0
1717,0,0.296110304,0.205498473,3,1
1718,0,0.0445764,37.5,4,0
1719,0,0.000349991,681,6,0
1720,0,0,0.633373934,3,0
1721,0,0.003574848,0.410062479,15,0
1722,0,0.186851783,0.286681021,8,0
1723,0,0.032998429,0.004461298,1,0
1724,0,0.006922189,1,9,0
1725,0,0.474681259,0.196592119,6,1
1726,0,0.356634904,0.458135466,11,0
1727,0,0.982403519,2357,8,0
1728,0,0.036347783,0.180969958,11,1
1729,0,0.258431665,4045,8,1
1730,0,0,0.437849944,11,0
1731,1,0.537417139,2748,5,0
1732,0,0.369472183,7,1,0
1733,0,0.04254138,0.486238532,12,2
1734,1,0.9999999,0,0,0
1735,0,0.096565911,0.120809423,4,1
1736,0,0.295740852,0.178619035,3,2
1737,0,0.213785748,0.367816092,5,0
1738,0,0.339794165,3115,19,0
1739,0,0.318112126,0.020152792,2,0
1740,0,0.600066364,0.50857819,15,1
1741,0,0.044177962,0.33847981,9,1
1742,0,0.010092554,0.003128259,3,0
1743,0,0.510087113,0.198656111,6,1
1744,0,0.039753447,0.243919633,15,0
1745,0,0.05101939,0.26045568,16,3
1746,0,0.9999999,0.194618671,7,0
1747,0,0.142398,0.264079508,6,0
1748,0,0.9999999,0,2,0
1749,0,0.006796192,0.41393079,13,0
1750,0,0.132962653,0.371699564,10,3
1751,0,0.827200631,0.505687694,8,0
1752,0,0.022417562,0.001825769,2,0
1753,0,0.2391771,1.054041983,9,1
1754,0,0.30428262,0.274722886,8,0
1755,0,0.514708735,0.91878384,18,1
1756,0,0.344317885,0.17953362,8,0
1757,0,0.022438565,0.230679837,8,0
1758,0,0.029431333,0.578070322,12,0
1759,0,0.017832739,0.003870718,4,1
1760,0,0.006838698,0.527266028,7,1
1761,0,0.056476222,3612,7,0
1762,0,0.000171917,0,8,0
1763,0,0.056895398,0.335904688,14,0
1764,0,0.9999999,0.112225335,5,0
1765,0,0.212426252,2743,8,0
1766,0,0.01239876,14.01876676,3,0
1767,1,0.197701607,0.258874113,7,1
1768,0,1.624465065,0.432814229,12,1
1769,0,0.03473748,1969,10,0
1770,0,0.108894555,65,2,0
1771,1,0.768820786,0.569584736,6,0
1772,0,0.705197204,0.262722496,16,1
1773,0,0.987367106,0.613832059,21,0
1774,0,0,0.087569008,5,1
1775,0,0.122047134,1.861569215,14,0
1776,0,0.39159148,1363,7,0
1777,0,0.884176675,0.709526982,6,0
1778,0,0.332944509,0.004916257,3,1
1779,0,0.017699115,10,1,NA
1780,0,0.366062091,0.559043159,12,0
1781,0,0.9999999,0.566289141,4,0
1782,0,0.059627208,639,6,1
1783,0,0.061397627,0.718473935,18,4
1784,0,0.162218632,0.459160129,9,1
1785,0,0.030829821,0.088447653,3,2
1786,0,0.005660923,0.001606856,1,1
1787,0,0.04550585,0.00979804,5,1
1788,0,0.135778145,0.325581395,13,1
1789,0,0.047724174,0.75812094,11,1
1790,1,0.9999999,520,3,0
1791,0,0,0.163458647,3,2
1792,0,0.9999999,813,4,0
1793,0,0.017796441,2,2,NA
1794,0,0.267703359,0.021265054,4,1
1795,0,0.714013618,0.252201164,4,0
1796,0,0.947700354,0.048520395,8,0
1797,1,0.978808477,0.428419088,5,1
1798,1,1.050951924,0.801221544,7,0
1799,0,0.959005856,0.213268706,5,0
1800,0,0.098515058,1189,4,0
1801,1,0.9999999,0.041420118,2,3
1802,0,0.000642385,1959,6,NA
1803,0,0.407186096,0.512998,14,2
1804,1,0.9999999,190,0,0
1805,0,0.086672375,0.134648714,15,0
1806,0,0.02365588,0.01793722,7,0
1807,0,0.911663333,0.632308212,11,3
1808,0,0.215568862,0.069114471,3,3
1809,0,0.088046633,0.157283194,5,0
1810,0,0.059112597,1743,3,NA
1811,0,0.032966889,0.537307906,10,1
1812,0,0.042970201,45,6,0
1813,0,0.026599391,0.074071225,9,1
1814,0,0.247103146,0.382146601,22,1
1815,0,0.021639523,0.323073492,21,2
1816,0,0.064372318,1.083273338,7,1
1817,0,0.011845698,9,3,0
1818,0,0.342435003,3840,5,0
1819,0,0.106507141,0.173443541,13,1
1820,0,0.849229165,0.848819169,11,0
1821,0,0.350847689,0.43258377,9,3
1822,0,0.284029179,1623,10,0
1823,0,0.909043376,0.422447194,11,0
1824,0,0.013626303,0.09737293,10,0
1825,0,0.205385796,1694,11,0
1826,0,0.006161492,0.001079914,3,0
1827,1,0.9999999,0.967923863,6,2
1828,0,0.167835331,0.716118685,20,1
1829,0,0.162704663,0.043175147,9,4
1830,0,0.028592856,0.191657272,8,0
1831,0,0.9999999,0,0,0
1832,0,0.536349341,0.14775359,6,2
1833,0,0.026159198,41,3,0
1834,0,0.009937069,0.327737096,16,0
1835,0,0.020739585,374,3,1
1836,0,0.371644487,0.427944404,13,2
1837,0,0.9999999,0.082983403,1,2
1838,0,0.032233653,142,6,0
1839,1,0.924601885,0.367097806,4,1
1840,0,0.2505186,0.363636364,24,0
1841,0,0.001128491,4546,13,0
1842,0,0.01783591,1062,13,0
1843,0,0.038488034,1.225011008,10,2
1844,0,0.680631937,0.057983433,4,3
1845,0,0.101810554,0.816436713,6,2
1846,1,0.9999999,0.025398541,1,0
1847,0,0.435904273,0.353206239,5,0
1848,0,0.519302673,0.765896315,12,0
1849,0,0.293554293,0.282177432,8,0
1850,0,0.203916305,0.346379089,8,1
1851,0,0.9999999,0.096394145,1,1
1852,0,0.179849103,0.308615311,7,0
1853,0,0,0.203310743,7,1
1854,0,0.263407239,2300,21,0
1855,0,0.013174641,0.121859768,8,2
1856,0,0.180280146,0.02849715,4,5
1857,0,0.101740388,0.361220731,9,0
1858,0,1.209302326,10,1,0
1859,0,0.617672488,0.14130275,8,2
1860,0,0.011140155,18,3,0
1861,0,0.9999999,0,3,4
1862,1,0.955200471,2277,10,0
1863,0,0.038950934,0.179793912,15,0
1864,0,0.006341611,0.423549278,19,1
1865,0,0.655344655,0.294355859,6,2
1866,0,0.494343504,0.692561488,6,0
1867,1,1.000782541,0.642629905,9,0
1868,0,0.105556349,0.222071349,5,2
1869,0,0.208583325,0.050887927,10,1
1870,0,0.136793641,0.235086836,11,1
1871,0,0.169233231,0.228154369,6,2
1872,1,0.9999999,117,2,0
1873,0,0.441343163,1.404297851,15,0
1874,0,0.071486036,0.182433958,3,1
1875,0,0.007318071,419,7,0
1876,0,0.026048127,0.322921627,24,0
1877,0,0.508254824,0.58369593,9,1
1878,1,0.9999999,0.492424242,5,1
1879,0,0.280334483,0.558411882,10,0
1880,0,0.014083737,0.129409265,7,0
1881,0,0.508008865,0.360940809,10,4
1882,0,0.000115738,0.008918316,5,1
1883,0,0.075929766,87,9,0
1884,0,0,586,11,NA
1885,0,0.846163759,0.571108043,12,0
1886,0,0.010646433,0.000830979,8,2
1887,0,0.03167801,0.114237715,7,0
1888,0,0.155959085,2599,5,0
1889,0,0.9999999,0.03263928,1,0
1890,0,0.281677722,0.400887929,7,4
1891,0,0.9999999,602,0,0
1892,0,0.358290304,1342,4,0
1893,0,0.081071193,0.332041747,9,3
1894,0,0.006631879,0.186841149,6,0
1895,0,0.197212966,0.196000987,6,0
1896,0,0.412840416,853,9,2
1897,0,0.054562307,91,4,NA
1898,0,0,0,2,0
1899,0,0.049889802,2549,6,0
1900,0,0.556591981,1.409716125,22,0
1901,0,0.9999999,0,0,0
1902,0,0.906381727,5317,16,2
1903,0,0.59410642,0.838448253,14,2
1904,0,0.03382955,0.177037996,10,0
1905,0,0.041396982,0.018495376,5,1
1906,0,0.046458026,0.133116883,9,0
1907,0,0.033934804,5354,9,4
1908,0,0.103659756,0.195398574,5,0
1909,0,0.9999999,0.1026737,7,2
1910,1,0.9999999,0,3,1
1911,0,0.151567098,0.52310231,3,0
1912,1,0.680161943,0.378735696,7,2
1913,0,0.9999999,0.958208358,8,0
1914,0,0.060876125,0.122324159,10,2
1915,0,0.9999999,0.176025918,1,0
1916,0,0.672442519,0.020381451,7,0
1917,0,0.389287936,1633,9,0
1918,0,0.376297369,1663,5,0
1919,0,0,0.195701075,9,4
1920,0,0.288158053,0.494088583,5,1
1921,0,0.484136932,0.144113613,7,0
1922,0,0.084647226,0.224233283,4,0
1923,0,0.703167083,0.174802291,12,0
1924,0,0.076419464,4200,23,3
1925,0,0.017639294,0.007223476,6,0
1926,0,0.00857712,0.142343063,10,0
1927,0,0.806522776,0.514185727,11,0
1928,0,0.009386388,0.010705922,12,0
1929,0,0.86234251,0.370256803,6,2
1930,0,0.665173572,0.166102842,3,0
1931,0,0.007230398,705,4,0
1932,0,0.02579742,0.005178402,2,1
1933,0,0.223677632,0.375291634,7,0
1934,0,0,0,2,0
1935,0,0.242501363,40,1,NA
1936,0,0.838060769,0.568128183,15,0
1937,0,0.10192376,0.327049414,7,1
1938,0,0.10189678,0.017257039,7,0
1939,0,0.891623721,0.564257446,8,1
1940,0,0.786357071,0.066129456,7,0
1941,0,0.936690115,1660,7,0
1942,0,0.339485947,0.514124842,15,0
1943,0,0.611393314,0.401873049,14,0
1944,0,0.151847413,0.291383601,15,1
1945,0,0.00729301,0.470048177,10,0
1946,0,0.036631719,1102,6,NA
1947,0,0.004538163,0.002220577,4,1
1948,0,0.027560119,9,3,NA
1949,0,0.615059839,2.777496839,7,0
1950,0,0.239984263,0.553889222,6,1
1951,0,0.071618037,1557,18,0
1952,0,0.239735812,0.73225917,9,0
1953,0,0.087409383,0.389115063,6,1
1954,0,0.291790743,4729,6,0
1955,0,0.02374947,0.090883991,8,0
1956,1,1.022703603,0.200471991,6,1
1957,0,0.822859221,637,2,0
1958,1,0.9999999,2730,2,0
1959,0,1.634551495,151,1,0
1960,0,0.007329357,0.145237897,20,0
1961,0,0.9999999,0.001142694,0,3
1962,0,0,0.624692034,9,0
1963,0,0.537109258,1.065304309,3,0
1964,0,0.319447649,0.133364098,6,1
1965,0,0.073916921,0.1828594,8,0
1966,0,0.068063285,0.226804124,12,0
1967,0,0.335712013,0.648859731,3,0
1968,0,0.504430534,0.188216476,13,0
1969,0,0.271030817,3.214642263,12,2
1970,0,0.047647618,639,5,0
1971,0,0.159244895,0.410598234,5,0
1972,0,0.741639022,0.652793401,7,0
1973,0,0.456195677,0.395201599,6,0
1974,0,0.004570993,0.008594983,4,0
1975,0,0.152989801,704,4,0
1976,0,0.373342184,3.45243805,27,2
1977,0,0.371401036,0.459297344,8,2
1978,1,0.966777409,0.90261115,5,2
1979,0,0.978733534,1.110963012,16,0
1980,1,0.909494725,0.149140344,8,0
1981,0,0.016422761,0.005982292,8,0
1982,0,0.16536001,0.349833333,11,0
1983,0,0.683331804,2349,9,0
1984,0,0,0.6885414,8,0
1985,0,0.188387441,0.078538927,3,3
1986,0,0.904559865,0.358805885,15,1
1987,0,0,0,1,0
1988,0,0.024624807,0.197565025,6,0
1989,0,0,0,4,0
1990,0,0.012535778,1876,12,0
1991,0,0.161527545,0.073167863,3,1
1992,1,1143,0.547761883,13,2
1993,0,0.279617729,0.15028584,6,1
1994,0,0.037579433,1934,6,0
1995,0,0.003573653,2,5,0
1996,0,0.343657564,0.316710411,14,0
1997,0,0.9999999,0.117033604,1,0
1998,0,0.442308844,0.063498247,4,1
1999,0,0.004222228,0.002671416,5,0
2000,0,0.11397067,0.667821846,16,0
2001,0,0.011946215,0.003653144,5,0
2002,0,0.543456543,27,2,0
2003,0,0.425149701,0.396354014,5,0
2004,0,0.08628288,0.310054326,10,0
2005,0,0.282711455,0.393590148,11,0
2006,0,0.005967586,0.36909013,24,0
2007,0,0.047813534,0.003763643,4,0
2008,0,0.015679373,0.182954261,6,0
2009,0,0.447986,1408,5,0
2010,0,0.017289927,0.31778037,13,1
2011,0,0.077513799,0.011997715,4,1
2012,0,0.243902439,0.248864668,3,0
2013,0,0.469804026,2455,7,0
2014,0,0.457507411,1003,5,0
2015,0,0.763049917,0.465546795,10,1
2016,0,0.159873773,0.413489736,9,0
2017,0,0.062146416,1.41586138,18,0
2018,0,0.041683931,0.796093932,10,1
2019,0,0.013843317,0.00259948,2,0
2020,0,0.093598023,0.226219025,14,0
2021,0,0.081286569,0.118515784,14,0
2022,0,0.314304201,0.440159954,13,1
2023,0,0.062716294,0.03016164,4,0
2024,0,0.240375962,0.678018576,3,0
2025,1,0.9999999,0.427854938,4,7
2026,0,0.663133687,0.266495287,5,0
2027,0,0.389992844,0.263589456,16,1
2028,0,0.264172212,4068,6,0
2029,0,0.283930598,1.51545916,14,2
2030,0,0.016845408,0.04854831,6,0
2031,0,0.571987146,0.187713925,9,1
2032,0,0.584717608,0.129642134,3,0
2033,1,0.752445768,0.305395683,5,0
2034,0,0.170235836,0.130234791,5,1
2035,0,0.971792188,0.76123817,15,1
2036,0,0.177730469,0.156888693,8,0
2037,0,0.640208437,2441,7,0
2038,0,0.187268721,3740,9,0
2039,0,0,0,6,0
2040,0,0.950105123,0.52499494,5,3
2041,0,0.021748641,10,3,NA
2042,0,0.121227307,0.389911384,7,0
2043,1,0.9999999,0.26296065,1,0
2044,0,0.000808265,0.255594705,19,0
2045,0,0.162063966,0.400099994,12,2
2046,0,0.030960339,0.255676759,22,0
2047,0,0.9999999,47,0,3
2048,0,0.9999999,0.218541709,3,2
2049,0,0.702136617,0.242281682,8,0
2050,0,0.036812806,0.257091956,9,3
2051,0,0.01292519,0.00235248,9,3
2052,0,0.968071818,4908,21,0
2053,0,0.127202141,0.298644545,7,3
2054,0,0.007363246,0.002999,5,0
2055,0,0.463124282,0.659090909,11,0
2056,0,0.285528031,0.208661417,2,0
2057,0,0.238829674,0.259947774,25,0
2058,0,0.659890841,0.374094099,11,4
2059,0,0.157880118,112,4,0
2060,0,0,0,4,0
2061,0,0.032570498,0.358771298,21,0
2062,0,0.002586427,4,4,NA
2063,0,0.163400642,279,3,0
2064,0,0.757516147,0.944422231,9,5
2065,0,0.000291949,0.518683579,17,0
2066,0,0.836666107,0.073963018,4,0
2067,0,0.474404095,0.199954034,10,2
2068,0,0.050790004,0.375937344,20,0
2069,0,0.279609581,0.225298691,11,0
2070,1,0.769765421,1.433628319,8,1
2071,0,0.343209383,0.408700228,11,0
2072,0,0.307692308,0.010463378,2,0
2073,0,0.395090522,3524,7,1
2074,0,0.377588854,0.117312917,5,0
2075,0,0.9999999,6,1,0
2076,0,0.611257459,0.459003653,10,3
2077,0,0.051477664,637,11,0
2078,0,0.857044762,0.365384615,10,0
2079,0,0.99000999,1254,10,0
2080,0,0.401824962,0.3843717,7,4
2081,0,0,0.073110285,8,2
2082,1,0.772891132,0.286726106,6,0
2083,1,0.056024823,1598,5,NA
2084,0,0.132159324,0.524502525,6,0
2085,0,0.402664316,0.088775273,5,0
2086,0,0.397512092,0.179539773,16,4
2087,0,0.013597281,4,4,0
2088,0,0.9999999,2701,1,0
2089,0,0.011629342,0.200303976,10,1
2090,0,0.20223306,0.657354741,22,1
2091,0,0.028005705,0.299329199,16,0
2092,0,0.004593166,1155,11,0
2093,0,0.042312909,0.418166509,8,1
2094,0,0,1222,19,0
2095,0,0.054585904,1000,13,2
2096,0,0.023248838,0.088126389,4,0
2097,1,0.627858098,0.164475316,6,1
2098,0,0.030802321,0.751294548,11,0
2099,0,0.025361644,2884,16,0
2100,0,0.294370925,0.420086554,10,1
2101,0,0.207916833,0.180242067,15,1
2102,0,0.013609221,0.340329835,6,0
2103,0,0.398310697,0.4334509,16,0
2104,0,1.016598893,0.071896203,3,0
2105,0,0.118811275,0.117432215,8,1
2106,1,0.718693752,0.626305265,11,0
2107,0,0.06400657,0.479244421,8,0
2108,0,0.081280535,0.441252117,22,1
2109,0,0.9999999,0.077780358,1,0
2110,0,0.319693442,0.494706249,16,0
2111,0,0.210858301,251,3,1
2112,0,0.201663466,882,6,0
2113,0,0.159561348,0.040845473,2,0
2114,0,0,2865,8,2
2115,0,0.58896167,1.424581006,11,1
2116,0,0.503660421,0.346370889,22,2
2117,0,0.025362648,0.191161768,13,0
2118,0,0.109700356,2719,7,0
2119,0,0.005643425,0.718816068,4,0
2120,0,0.988892054,245,6,1
2121,0,0.295125487,0.426305809,14,0
2122,0,0.138347164,0.274721224,3,1
2123,0,0.671517276,0.387526779,12,0
2124,0,0.085363988,0.653923068,7,0
2125,0,0.719133902,1787,11,0
2126,0,0.091788469,4050,9,3
2127,0,0.086850877,0.435741646,22,0
2128,0,0.808042698,0.561887622,9,3
2129,0,0.191958515,0.318833764,4,1
2130,0,0.143608005,0.336011427,15,2
2131,0,0.112387394,1230,12,0
2132,1,0.930232558,0.32247662,6,0
2133,0,0.868279607,0.310741037,19,0
2134,0,0.792013418,0.180496039,7,2
2135,0,0.093984336,16,2,0
2136,0,0.287522654,0.634727545,19,2
2137,0,0.23459476,0.278879813,8,1
2138,0,0.441839763,0.255421274,7,2
2139,0,0.003577191,0.48955495,11,0
2140,0,0.31361716,0.501231706,13,2
2141,0,0.156203563,4179,7,0
